,x,y,z,radian
748,-4.538124386643347,2.6200873362445414,1903.0,2.6179938779914944
893,-5.589519650655022,6.845187348945905e-16,1903.0,3.141592653589793
1038,-4.4246712769772625,-2.5545851528384285,1903.0,3.6651914291880923
1183,-2.4672489082969458,-4.273400464089151,1903.0,4.1887902047863905
1328,-9.30517655247334e-16,-5.065502183406114,1903.0,4.71238898038469
1473,2.6419213973799134,-4.575942089865375,1903.0,5.235987755982989
1618,4.235582760867123,-2.4454148471615746,1903.0,5.759586531581287
24,4.366812227074235,0.0,1904.0,0.0
169,3.9330411350909005,2.270742358078602,1904.0,0.5235987755982988
314,2.445414847161573,4.235582760867124,1904.0,1.0471975511965976
459,2.994769465163834e-16,4.890829694323145,1904.0,1.5707963267948966
604,-2.4235807860262004,4.197765057645097,1904.0,2.0943951023931953
749,-4.31121816731118,2.489082969432314,1904.0,2.6179938779914944
894,-4.890829694323145,5.989538930327668e-16,1904.0,3.141592653589793
1039,-4.273400464089152,-2.467248908296944,1904.0,3.6651914291880923
1184,-2.3362445414847186,-4.046494244756984,1904.0,4.1887902047863905
1329,-9.94691286643702e-16,-5.4148471615720535,1904.0,4.71238898038469
1474,3.165938864628822,-5.483566967194044,1904.0,5.235987755982989
1619,4.916301418863624,-2.8384279475982557,1904.0,5.759586531581287
25,5.589519650655022,0.0,1905.0,0.0
170,3.8952234318688737,2.2489082969432315,1905.0,0.5235987755982988
315,3.0786026200873375,5.332296154305933,1905.0,1.0471975511965976
460,3.4760717006365916e-16,5.676855895196506,1905.0,1.5707963267948966
605,-2.9257641921397366,5.067572231751737,1905.0,2.0943951023931953
750,-5.067572231751737,2.9257641921397375,1905.0,2.6179938779914944
895,-5.938864628820961,7.273011558255024e-16,1905.0,3.141592653589793
1040,-5.3701138575279606,-3.1004366812227087,1905.0,3.6651914291880923
1185,-3.1441048034934527,-5.445749263972015,1905.0,4.1887902047863905
1330,-1.1150168455118915e-15,-6.069868995633189,1905.0,4.71238898038469
1475,3.406113537117905,-5.899561702636351,1905.0,5.235987755982989
1620,5.672655483304181,-3.27510917030568,1905.0,5.759586531581287
26,5.895196506550218,0.0,1906.0,0.0
171,5.029754528529709,2.9039301310043664,1906.0,0.5235987755982988
316,3.144104803493451,5.445749263972016,1906.0,1.0471975511965976
461,4.2247640669275506e-16,6.899563318777293,1906.0,1.5707963267948966
606,-2.9912663755458504,5.181025341417821,1906.0,2.0943951023931953
751,-5.407931560749989,3.1222707423580784,1906.0,2.6179938779914944
896,-6.069868995633189,7.433445636745944e-16,1906.0,3.141592653589793
1041,-5.3701138575279606,-3.1004366812227087,1906.0,3.6651914291880923
1186,-2.9475982532751117,-5.105389934973764,1906.0,4.1887902047863905
1331,-1.1471036612100753e-15,-6.244541484716158,1906.0,4.71238898038469
1476,2.729257641921398,-4.727212902753486,1906.0,5.235987755982989
1621,5.597020076860126,-3.231441048034937,1906.0,5.759586531581287
27,5.240174672489084,0.0,1907.0,0.0
172,4.235582760867125,2.445414847161572,1907.0,0.5235987755982988
317,2.9475982532751095,5.105389934973765,1907.0,1.0471975511965976
462,3.369115648309313e-16,5.502183406113538,1907.0,1.5707963267948966
607,-2.5327510917030556,4.386853573755236,1907.0,2.0943951023931953
752,-4.575942089865375,2.6419213973799125,1907.0,2.6179938779914944
897,-5.589519650655022,6.845187348945905e-16,1907.0,3.141592653589793
1042,-4.878483715641598,-2.816593886462883,1907.0,3.6651914291880923
1187,-2.816593886462885,-4.878483715641597,1907.0,4.1887902047863905
1332,-1.1230385494364374e-15,-6.113537117903931,1907.0,4.71238898038469
1477,2.5327510917030573,-4.386853573755235,1907.0,5.235987755982989
1622,4.349035870533206,-2.510917030567688,1907.0,5.759586531581287
28,5.152838427947598,0.0,1908.0,0.0
173,4.916301418863625,2.8384279475982526,1908.0,0.5235987755982988
318,2.336244541484717,4.0464942447569845,1908.0,1.0471975511965976
463,3.181942556736573e-16,5.196506550218341,1908.0,1.5707963267948966
608,-2.729257641921396,4.727212902753487,1908.0,2.0943951023931953
753,-4.727212902753487,2.729257641921397,1908.0,2.6179938779914944
898,-5.589519650655022,6.845187348945905e-16,1908.0,3.141592653589793
1043,-4.386853573755235,-2.5327510917030573,1908.0,3.6651914291880923
1188,-2.794759825327514,-4.840666012419569,1908.0,4.1887902047863905
1333,-9.545827670209718e-16,-5.196506550218341,1908.0,4.71238898038469
1478,2.4235807860262017,-4.197765057645096,1908.0,5.235987755982989
1623,4.3112181673111785,-2.489082969432317,1908.0,5.759586531581287
29,3.930131004366813,0.0,1909.0,0.0
174,4.424671276977263,2.5545851528384276,1909.0,0.5235987755982988
319,2.379912663755459,4.12212965120104,1909.0,1.0471975511965976
464,2.780857360509274e-16,4.541484716157205,1909.0,1.5707963267948966
609,-2.3580786026200866,4.084311947979012,1909.0,2.0943951023931953
754,-4.1599473544230685,2.4017467248908293,1909.0,2.6179938779914944
899,-5.109170305676856,6.256929061145866e-16,1909.0,3.141592653589793
1044,-4.878483715641598,-2.816593886462883,1909.0,3.6651914291880923
1189,-2.707423580786029,-4.689395199531458,1909.0,4.1887902047863905
1334,-9.866695827191558e-16,-5.37117903930131,1909.0,4.71238898038469
1479,2.860262008733625,-4.954119122085653,1909.0,5.235987755982989
1624,4.046494244756984,-2.3362445414847186,1909.0,5.759586531581287
30,5.240174672489084,0.0,1910.0,0.0
175,4.575942089865375,2.6419213973799125,1910.0,0.5235987755982988
320,2.467248908296944,4.273400464089152,1910.0,1.0471975511965976
465,3.208681569818393e-16,5.240174672489084,1910.0,1.5707963267948966
610,-2.79475982532751,4.840666012419571,1910.0,2.0943951023931953
755,-4.689395199531459,2.7074235807860263,1910.0,2.6179938779914944
900,-5.589519650655022,6.845187348945905e-16,1910.0,3.141592653589793
1045,-4.7650306059755145,-2.7510917030567694,1910.0,3.6651914291880923
1190,-2.707423580786029,-4.689395199531458,1910.0,4.1887902047863905
1335,-9.7864787879461e-16,-5.327510917030569,1910.0,4.71238898038469
1480,2.292576419213975,-3.9708588383129295,1910.0,5.235987755982989
1625,3.5926818060926484,-2.074235807860264,1910.0,5.759586531581287
31,4.366812227074235,0.0,1911.0,0.0
176,3.97085883831293,2.292576419213974,1911.0,0.5235987755982988
321,2.2270742358078603,3.8574057286468437,1911.0,1.0471975511965976
466,2.8878134128365536e-16,4.716157205240175,1911.0,1.5707963267948966
611,-2.401746724890829,4.1599473544230685,1911.0,2.0943951023931953
756,-4.197765057645097,2.423580786026201,1911.0,2.6179938779914944
901,-5.240174672489084,6.417363139636786e-16,1911.0,3.141592653589793
1046,-4.500306683421319,-2.598253275109171,1911.0,3.6651914291880923
1191,-2.6637554585152867,-4.613759793087403,1911.0,4.1887902047863905
1336,-1.0909517337382535e-15,-5.938864628820961,1911.0,4.71238898038469
1481,3.0786026200873375,-5.332296154305933,1911.0,5.235987755982989
1626,5.332296154305931,-3.0786026200873393,1911.0,5.759586531581287
32,5.9825327510917035,0.0,1912.0,0.0
177,5.597020076860128,3.231441048034934,1912.0,0.5235987755982988
322,2.729257641921398,4.727212902753486,1912.0,1.0471975511965976
467,3.8771568968638914e-16,6.331877729257642,1912.0,1.5707963267948966
612,-3.056768558951964,5.294478451083905,1912.0,2.0943951023931953
757,-5.218843044639849,3.0131004366812224,1912.0,2.6179938779914944
